OBJECT_SCHEMA,OBJECT_NAME,OBJECT_TYPE,OBJECT_COMMENT,FIELD_ORDER,FIELD_NAME,FIELD_DATA_TYPE,CHAR_MAX_LEN,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,NULLABLE,DEFAULT_VALUE,FIELD_COMMENT
PUBLIC_DATA,AIRCRAFT_CARRIER_INDEX,VIEW,"The Aircraft Carrier Index table provides a list of airline carriers, including their unique identification codes, names, and key operational details.",1,AIRCRAFT_CARRIER_ID,TEXT,16777216,,,,YES,,Unique ID for the aircraft carrier.
PUBLIC_DATA,AIRCRAFT_CARRIER_INDEX,VIEW,"The Aircraft Carrier Index table provides a list of airline carriers, including their unique identification codes, names, and key operational details.",2,CARRIER_NAME,TEXT,16777216,,,,YES,,Name of the airport carrier.
PUBLIC_DATA,AIRCRAFT_CARRIER_INDEX,VIEW,"The Aircraft Carrier Index table provides a list of airline carriers, including their unique identification codes, names, and key operational details.",3,CARRIER_WORLD_AREA_CODE,NUMBER,,38,0,,YES,,US DOT identifier for the geographical area where the carrier is based.
PUBLIC_DATA,AIRCRAFT_CARRIER_INDEX,VIEW,"The Aircraft Carrier Index table provides a list of airline carriers, including their unique identification codes, names, and key operational details.",4,CARRIER_TYPE,TEXT,16777216,,,,YES,,Type of carrier based on its primary operational characteristics.
PUBLIC_DATA,AIRCRAFT_CARRIER_INDEX,VIEW,"The Aircraft Carrier Index table provides a list of airline carriers, including their unique identification codes, names, and key operational details.",5,OAI_CARRIER_TYPE,TEXT,16777216,,,,YES,,Operating Air Carrier (OAC) type that provides a detailed classification of the type of operations conducted by the carrier.
PUBLIC_DATA,AIRCRAFT_CARRIER_INDEX,VIEW,"The Aircraft Carrier Index table provides a list of airline carriers, including their unique identification codes, names, and key operational details.",6,STATE_GEO_ID,TEXT,16777216,,,,YES,,"A unique identifier for a state, joinable to the GEOGRAPHY_INDEX table, representing the primary geography for the variable."
PUBLIC_DATA,AIRCRAFT_CARRIER_INDEX,VIEW,"The Aircraft Carrier Index table provides a list of airline carriers, including their unique identification codes, names, and key operational details.",7,COUNTRY_GEO_ID,TEXT,16777216,,,,YES,,"A unique identifier for a country, joinable to the GEOGRAPHY_INDEX table, representing the primary geography for the variable."
PUBLIC_DATA,AIRCRAFT_INDEX,VIEW,"The Aircraft Index table details the various aircraft models used by carriers, including their unique identification codes, names, and associated attributes such as aircraft group and cabin configuration.",1,AIRCRAFT_ID,TEXT,16777216,,,,YES,,"ID for the aircraft type, a distinctive model as designated by the manufacturer."
PUBLIC_DATA,AIRCRAFT_INDEX,VIEW,"The Aircraft Index table details the various aircraft models used by carriers, including their unique identification codes, names, and associated attributes such as aircraft group and cabin configuration.",2,AIRCRAFT_NAME,TEXT,16777216,,,,YES,,Specific model or type of the aircraft used for a flight; can include both the manufacturer and model.
PUBLIC_DATA,AIRCRAFT_INDEX,VIEW,"The Aircraft Index table details the various aircraft models used by carriers, including their unique identification codes, names, and associated attributes such as aircraft group and cabin configuration.",3,AIRCRAFT_GROUP,TEXT,16777216,,,,YES,,"Classification of an aircraft based on size, range, and operational characteristics."
PUBLIC_DATA,AIRCRAFT_INDEX,VIEW,"The Aircraft Index table details the various aircraft models used by carriers, including their unique identification codes, names, and associated attributes such as aircraft group and cabin configuration.",4,CABIN_CONFIGURATION,TEXT,16777216,,,,YES,,Description of the layout and seating arrangement within the aircraft cabin.
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",1,AIRPORT_ID,TEXT,16777216,,,,YES,,"ID for the origin airport that is part of the flight route being measured, combination of the DOT unique code and official 3 letter OAG code issued for that airport."
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",2,AIRPORT_DOT_CODE,NUMBER,,38,0,,YES,,"Unique identifier assigned by the US DOT to each airport, used for administrative and reporting purposes."
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",3,AIRPORT_NAME,TEXT,16777216,,,,YES,,Name of the airport.
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",4,AIRPORT_ALPHA_CODE,TEXT,16777216,,,,YES,,"Code assigned to airports by the International Air Transport Association (IATA), which are widely used in the aviation industry for ticketing, baggage handling, and flight planning."
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",5,AIRPORT_WORLD_AREA_CODE,NUMBER,,38,0,,YES,,US DOT identifier for the geographical area where the airport is based.
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",6,LOCATION,TEXT,16777216,,,,YES,,Full location name of the airport.
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",7,AIRPORT_CITY_NAME,TEXT,16777216,,,,YES,,Name of the city where the airport is located.
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",8,STATE_GEO_ID,TEXT,16777216,,,,YES,,"A unique identifier for a state, joinable to the GEOGRAPHY_INDEX table, representing the primary geography for the variable."
PUBLIC_DATA,AIRPORT_INDEX,VIEW,"The Airport Index table catalogs airports tracked by the US DOT Domestic Segment data, featuring their unique DOT codes, IATA alpha codes, and additional location-specific information.",9,COUNTRY_GEO_ID,TEXT,16777216,,,,YES,,"A unique identifier for a country, joinable to the GEOGRAPHY_INDEX table, representing the primary geography for the variable."
